bill_no,goods_no,qty,process_type,create_time,deadline_time,band
1180814539302240 ,21033,1,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814539303530 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539402790 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539403610 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539407120 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539500170 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539500890 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539501450 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539502360 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539503590 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539602950 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539603130 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539606200 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539606340 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539704450 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539804130 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539804330 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539804710 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539805080 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539807270 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539809560 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539809760 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539810170 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539902390 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539904340 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539905130 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814539905820 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540101770 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540101780 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540105480 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540105940 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540107400 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540200810 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540202170 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540203240 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540303700 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540303940 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540403330 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540405030 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540500050 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540501560 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540504830 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540505180 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540505520 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540601720 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540602160 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540603460 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540604350 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540700050 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540800110 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540800210 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540801910 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540803400 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540805450 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540900100 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540900490 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540901380 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814540903110 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541003570 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541003980 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541004020 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541004720 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541006010 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541008870 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541100050 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541100860 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541102870 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541104350 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541105570 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541105710 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541203470 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541203910 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541300500 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541304420 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541403730 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541404090 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541404200 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541407450 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541408580 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541503380 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541503410 ,21034,2,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814541503430 ,21034,2,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814541504190 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541504290 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541504760 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541506040 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541509570 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541605580 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541703730 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541709480 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541803760 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541803920 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541804030 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541804140 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541804770 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541806010 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541809500 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541809520 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541903480 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814541903920 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550101950 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550107040 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550201180 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550202860 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550203670 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550203920 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550301730 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550402290 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550402310 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550402520 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550402670 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550403750 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550404210 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550502780 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550502800 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550503180 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550504550 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550506810 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550601810 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550700190 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550700990 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550801330 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550803870 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550805230 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550900720 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550900970 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814550904650 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551000180 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551004680 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551104100 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551104210 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551104260 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551201870 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551202600 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551204790 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551303990 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551304370 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551305300 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551307170 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551402000 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551403510 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551405380 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551504430 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551602910 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551605870 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551704370 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551704710 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551704870 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551705480 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551706250 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551802350 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551805240 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551903740 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814551908720 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552003950 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552103560 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552202350 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552207410 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552302030 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552302400 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552302570 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552305140 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552404130 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552404690 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552502410 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552502480 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552502630 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552601880 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552700660 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552702360 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552802230 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552802930 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552803830 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552904620 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814552905890 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553006310 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553103570 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553202840 ,21033,1,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814553202840 ,21034,1,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814553307660 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553402530 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553402780 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553504380 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553505280 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553507990 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553508570 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553603590 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553605990 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553702050 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553703930 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553803080 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553803310 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553902470 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814553903750 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554005470 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554006570 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554101110 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554103260 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554200520 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554201260 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554203860 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554302770 ,21033,1,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814554302770 ,21034,1,1,2018/8/16 0:00,2018/8/16 23:59,A
1180814554306140 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554402810 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554501350 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554501450 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554505010 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554506030 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554600000 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554603570 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554603920 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554604530 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554800940 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554903840 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554907350 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180814554908080 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591000770 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591101140 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591105390 ,18341,1,0,2018/8/16 0:00,2018/8/16 23:59,C
1180815591107530 ,16022,1,0,2018/8/16 0:00,2018/8/16 23:59,B
1180815591107590 ,18958,1,0,2018/8/16 0:00,2018/8/16 23:59,B
1180815591107840 ,19360,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591107960 ,14429,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591200570 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591201620 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591205350 ,19360,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591205760 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591205950 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591206810 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591206940 ,14318,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591300150 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591303610 ,18660,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591307610 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591402680 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591405650 ,18316,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591407710 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591407730 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591409420 ,10687,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591500420 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591504810 ,16418,1,0,2018/8/16 0:00,2018/8/16 23:59,B
1180815591507890 ,16252,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591507940 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591605900 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591606940 ,14896,1,0,2018/8/16 0:00,2018/8/16 23:59,B
1180815591804240 ,19301,1,0,2018/8/16 0:00,2018/8/16 23:59,C
1180815591807030 ,19360,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591808550 ,19360,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591908170 ,19360,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815591908850 ,10687,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592000410 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592007100 ,17141,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592007500 ,13925,1,0,2018/8/16 0:00,2018/8/16 23:59,B
1180815592007660 ,18090,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592007930 ,19360,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592007990 ,11271,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592101950 ,21033,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592103770 ,18660,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592107040 ,14318,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592205830 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592206690 ,18800,1,0,2018/8/16 0:00,2018/8/16 23:59,B
1180815592206990 ,20210,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592207310 ,19331,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592207360 ,15366,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592303660 ,18316,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592306990 ,14274,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592307730 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592400800 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592407560 ,13031,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592504810 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592505310 ,15912,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592505380 ,19360,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592505440 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592506910 ,19173,1,0,2018/8/16 0:00,2018/8/16 23:59,B
1180815592604600 ,19360,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592605700 ,14318,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592606000 ,15829,1,0,2018/8/16 0:00,2018/8/16 23:59,B
1180815592606200 ,19360,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592606470 ,18638,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592704100 ,14318,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592704610 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592705080 ,14767,1,0,2018/8/16 0:00,2018/8/16 23:59,B
1180815592800530 ,21034,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592803200 ,18316,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592803990 ,18316,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592805600 ,18660,5,1,2018/8/16 0:00,2018/8/16 23:59,A
1180815592806690 ,19361,1,0,2018/8/16 0:00,2018/8/16 23:59,A
1180815592807590 ,18090,1,0,2018/8/16 0:00,2018/8/16 23:59,A
